YearAdj,Season,SVIndex,YearType,Drought,Outflow,Export,X2
1989,Spring,6.13,Dry,D,19414.239130434784,9058.478260869566,72.11945458324803
1989,Summer,6.13,Dry,D,5589.54347826087,8912.619565217392,81.31898284749462
1989,Fall,6.13,Dry,D,5595.868131868132,10610.351648351649,86.08622534343078
1990,Winter,4.81,Critical,D,7032.044444444445,10563.9,85.0770107816727
1990,Spring,4.81,Critical,D,5810.815217391304,7968.641304347826,87.80267095641557
1990,Summer,4.81,Critical,D,4419.79347826087,5643.413043478261,84.2911707881505
1990,Fall,4.81,Critical,D,3449.5714285714284,4531.142857142857,91.51465554358528
1991,Winter,4.21,Critical,D,5857.433333333333,4937.766666666666,92.82228021624508
1991,Spring,4.21,Critical,D,10790.5,6729.086956521739,81.81506698871115
1991,Summer,4.21,Critical,D,3285.0760869565215,2936.336956521739,90.55785353270194
1991,Fall,4.21,Critical,D,3860.3296703296705,4324.142857142857,91.77796320493036
1992,Winter,4.06,Critical,D,13946.362637362638,5231.461538461538,89.01809167007849
1992,Spring,4.06,Critical,D,7613.130434782609,5210.934782608696,79.20104365021328
1992,Summer,4.06,Critical,D,3073.945652173913,2208.5760869565215,92.62688977311959
1992,Fall,4.06,Critical,D,3951.8901098901097,2990.4945054945056,93.18874952391668
1993,Winter,8.54,Above Normal,N,41052.811111111114,8333.655555555555,71.5209106801999
1993,Spring,8.54,Above Normal,N,44486.29347826087,5089.760869565217,60.196020518044854
1993,Summer,8.54,Above Normal,N,15188.75,8099.641304347826,70.91068964946423
1993,Fall,8.54,Above Normal,N,5925.780219780219,9707.813186813188,83.92396056529563
1994,Winter,5.02,Critical,N,14368.722222222223,7520.4111111111115,79.9453282006989
1994,Spring,5.02,Critical,N,8903.434782608696,2841.945652173913,76.62458855154735
1994,Summer,5.02,Critical,N,3871.228260869565,4320.79347826087,88.53716046394064
1994,Fall,5.02,Critical,N,4676.879120879121,6394.175824175824,89.91019738755777
1995,Winter,12.89,Wet,W,63000.36666666667,9435.444444444445,67.1347462287686
1995,Spring,12.89,Wet,W,130267.07608695653,3662.4347826086955,49.25930648554734
1995,Summer,12.89,Wet,W,27937.347826086956,9292.054347826086,63.73624540259681
1995,Fall,12.89,Wet,W,13108.736263736264,6864.923076923077,73.25375378138625
1996,Winter,10.26,Wet,W,60834.25274725275,7100.2307692307695,62.81051137365236
1996,Spring,10.26,Wet,W,59252.239130434784,4287.086956521739,55.14567258071357
1996,Summer,10.26,Wet,W,11296.641304347826,10533.33695652174,72.71789893340619
1996,Fall,10.26,Wet,W,7337.142857142857,10149.142857142857,81.38763076548686
1997,Winter,10.82,Wet,W,156399.3,4356.877777777778,53.20355555555555
1997,Spring,10.82,Wet,W,20176.619565217392,5067.391304347826,65.4604347826087
1997,Summer,10.82,Wet,W,8807.923913043478,8906.29347826087,77.28054347826087
1997,Fall,10.82,Wet,W,6261.571428571428,9495.351648351649,84.29186813186813
1998,Winter,13.31,Wet,W,98663.92222222222,7340.877777777778,64.52922222222222
1998,Spring,13.31,Wet,W,86775.03260869565,2524.6739130434785,49.85326086956522
1998,Summer,13.31,Wet,W,40671.510869565216,7620.945652173913,59.44423913043478
1998,Fall,13.31,Wet,W,17602.351648351647,7759.054945054945,70.89516483516483
1999,Winter,9.8,Wet,W,60107.5,4060.9,60.961888888888886
1999,Spring,9.8,Wet,W,42350.467391304344,5195.5,58.36086956521739
1999,Summer,9.8,Wet,W,10082.95652173913,9140.434782608696,74.65478260869565
1999,Fall,9.8,Wet,W,5294.021978021978,10123.813186813188,84.83307692307692
2000,Winter,8.94,Above Normal,W,40890.93406593407,9278.406593406593,73.44527472527473
2000,Spring,8.94,Above Normal,W,45960.30434782609,5917.597826086957,59.29054347826087
2000,Summer,8.94,Above Normal,W,8077.782608695652,9824.673913043478,76.97152173913044
2000,Fall,8.94,Above Normal,W,5054.945054945055,9971.461538461539,85.35186813186813
2001,Winter,5.76,Dry,D,13392.8,7938.811111111111,79.47066666666667
2001,Spring,5.76,Dry,D,15149.271739130434,4664.445652173913,72.36923913043478
2001,Summer,5.76,Dry,D,5127.326086956522,6807.217391304348,82.86630434782609
2001,Fall,5.76,Dry,D,5537.263736263736,6558.340659340659,86.98351648351648
2002,Winter,6.35,Dry,D,25604,9863.611111111111,69.97411111111111
2002,Spring,6.35,Dry,D,14183.95652173913,4859.597826086957,72.97173913043478
2002,Summer,6.35,Dry,D,5661.369565217391,9279.315217391304,81.11880434782609
2002,Fall,6.35,Dry,D,5223.758241758242,7177.549450549451,86.28956043956043
2003,Winter,8.21,Above Normal,N,36884.1,9548.655555555555,68.33922222222222
2003,Spring,8.21,Above Normal,N,26639.717391304348,6150.119565217391,67.35282608695653
2003,Summer,8.21,Above Normal,N,9452.532608695652,11198.347826086956,74.80054347826086
2003,Fall,8.21,Above Normal,N,4800.076923076923,8938.131868131868,86.06032967032966
2004,Winter,7.51,Below Normal,N,40774.241758241755,10168.153846153846,69.10087912087911
2004,Spring,7.51,Below Normal,N,30333.391304347828,5844.652173913043,64.05739130434783
2004,Summer,7.51,Below Normal,N,6123.369565217391,9473.065217391304,81.13576086956522
2004,Fall,7.51,Below Normal,N,6662.780219780219,8404.604395604396,83.11659340659341
2005,Winter,8.49,Above Normal,W,23627.255555555555,9801.433333333332,72.86866666666667
2005,Spring,8.49,Above Normal,W,39927.84782608696,5486.184782608696,62.89054347826087
2005,Summer,8.49,Above Normal,W,14199.054347826086,11356.347826086956,70.98967391304348
2005,Fall,8.49,Above Normal,W,5497.505494505494,10822.505494505494,83.82527472527472
2006,Winter,13.2,Wet,W,81231.85555555555,9178.266666666666,63.099222222222224
2006,Spring,13.2,Wet,W,124798.06521739131,4579.119565217391,49.03663043478261
2006,Summer,13.2,Wet,W,17731.608695652172,10339.760869565218,67.7270652173913
2006,Fall,13.2,Wet,W,5693.813186813187,10681.252747252747,82.87703296703297
2007,Winter,6.19,Dry,D,12552.08888888889,8621.166666666666,79.21855555555555
2007,Spring,6.19,Dry,D,11566.130434782608,4604.358695652174,74.17543478260869
2007,Summer,6.19,Dry,D,5624.25,8851.021739130434,82.25554347826088
2007,Fall,6.19,Dry,D,4158.406593406594,8032.956043956044,87.50406593406593
2008,Winter,5.16,Critical,D,18503.648351648353,6623.120879120879,76.49593406593407
2008,Spring,5.16,Critical,D,9996.58695652174,2703.0760869565215,75.20119565217391
2008,Summer,5.16,Critical,D,4664.923913043478,4800.010869565217,84.3945652173913
2008,Fall,5.16,Critical,D,4345.615384615385,4980.43956043956,88.4545054945055
2009,Winter,5.78,Dry,D,11700.877777777778,3813.2555555555555,82.04833333333333
2009,Spring,5.78,Dry,D,15993.04347826087,3710.032608695652,71.88021739130434
2009,Summer,5.78,Dry,D,5814.815217391304,7227.663043478261,81.25173913043479
2009,Fall,5.78,Dry,D,4984.1648351648355,5885.197802197802,86.40835164835165
2010,Winter,7.08,Below Normal,D,20806.655555555557,6087.466666666666,76.65022222222223
2010,Spring,7.08,Below Normal,D,20761.239130434784,3761.8260869565215,68.32217391304347
2010,Summer,7.08,Below Normal,D,8995.619565217392,9373.608695652174,76.85967391304348
2010,Fall,7.08,Below Normal,D,6119.285714285715,9765.461538461539,84.9367032967033
2011,Winter,10.54,Wet,N,38967.3,10311.133333333333,66.00866666666667
2011,Spring,10.54,Wet,N,78677.28260869565,5402.695652173913,55.1920652173913
2011,Summer,10.54,Wet,N,22643.032608695652,11133.83695652174,66.65597826086956
2011,Fall,10.54,Wet,N,10864.307692307691,9893.681318681318,76.24384615384615
2012,Winter,6.89,Below Normal,D,9160.461538461539,6556.945054945055,79.48714285714286
2012,Spring,6.89,Below Normal,D,20046.543478260868,3093.1521739130435,70.59097826086956
2012,Summer,6.89,Below Normal,D,6811.228260869565,8578.195652173914,79.90771739130435
2012,Fall,6.89,Below Normal,D,5210.318681318681,8165.153846153846,86.06758241758241
2013,Winter,5.83,Dry,D,28475.077777777777,5504.455555555555,68.63388888888889
2013,Spring,5.83,Dry,D,10831.619565217392,3160.0760869565215,75.4479347826087
2013,Summer,5.83,Dry,D,6123.967391304348,7579.934782608696,81.16130434782609
2013,Fall,5.83,Dry,D,5134.846153846154,4853.67032967033,85.12428571428572
2014,Winter,4.07,Critical,D,6793.211111111111,2346.0444444444443,83.59955555555555
2014,Spring,4.07,Critical,D,8273.967391304348,3331.2608695652175,80.05673913043478
2014,Summer,4.07,Critical,D,4291.217391304348,1851.6847826086957,86.27967391304348
2014,Fall,4.07,Critical,D,4454.747252747253,2610.7582417582416,87.38681318681319
2015,Winter,4,Critical,D,18683.533333333333,5604.288888888889,75.307
2015,Spring,4,Critical,D,6232.336956521739,1964.0434782608695,81.10782608695652
2015,Summer,4,Critical,D,4675.402173913043,1028.1630434782608,84.97380434782609
2015,Fall,4,Critical,D,4777.021978021978,2025.0549450549452,85.91703296703297
2016,Winter,6.71,Below Normal,D,18251.824175824175,4048.2087912087914,75.53879120879121
2016,Spring,6.71,Below Normal,D,32350.869565217392,3437.163043478261,66.43402173913043
2016,Summer,6.71,Below Normal,D,7166.684782608696,7358.358695652174,79.05380434782609
2016,Fall,6.71,Below Normal,D,7162.912087912088,8090.494505494506,82.89791208791209
2017,Winter,14.14,Wet,N,145452.3,10565.622222222222,58.934444444444445
2017,Spring,14.14,Wet,N,98739.67391304347,5673.804347826087,47.66695652173913
2017,Summer,14.14,Wet,N,15871.097826086956,11372.641304347826,69.12478260869565
2017,Fall,14.14,Wet,N,10429.131868131868,7789.428571428572,76.05549450549451
2018,Winter,7.14,Below Normal,N,11808.822222222223,6421.044444444445,76.56744444444445
2018,Spring,7.14,Below Normal,N,27439.771739130436,4434.75,67.89391304347826
2018,Summer,7.14,Below Normal,N,6568.336956521739,6684.45652173913,79.71510869565218
2018,Fall,7.14,Below Normal,N,6311.648351648351,7444.318681318681,83.82197802197803
2019,Winter,10.34,Wet,N,40088.055555555555,7382.288888888889,70.87833333333333
2019,Spring,10.34,Wet,N,85507.54347826086,4571.217391304348,52.1025
2019,Summer,10.34,Wet,N,17260.369565217392,10157.358695652174,69.53086956521739
2019,Fall,10.34,Wet,N,10855.021978021978,5931,75.34483516483516
2020,Winter,6.12,Dry,D,13092.923076923076,6999.725274725275,74.98879120879121
2020,Spring,6.12,Dry,D,10242.065217391304,3080.782608695652,76.35010869565217
2020,Summer,6.12,Dry,D,4987.358695652174,5664.478260869565,83.34467391304348
2020,Fall,6.12,Dry,D,4552.758241758242,4233.780219780219,86.7056043956044
2021,Winter,3.8,Critical,D,8433.622222222222,3291.322222222222,81.37522222222222
2021,Spring,3.8,Critical,D,6742.95652173913,1358.6521739130435,80.7125
2021,Summer,3.8,Critical,D,3405.271739130435,1272.4021739130435,88.70543478260869
2021,Fall,3.8,Critical,D,6706.153846153846,3727.5164835164837,86.8805888739753
